month,day,year,daily_cum_cubic_m_across_basin,basin_area,avg_mm_rainfall,avg_cum_in_rainfall,avg_cum_acre_ft
1,1,2025,0,4003040565,0,0,0
1,2,2025,0,4003040565,0,0,0
1,3,2025,0,4003040565,0,0,0
1,4,2025,0,4003040565,0,0,0
1,5,2025,0,4003040565,0,0,0
1,6,2025,0,4003040565,0,0,0
1,7,2025,0,4003040565,0,0,0
1,8,2025,0,4003040565,0,0,0
1,9,2025,0,4003040565,0,0,0
1,10,2025,117473064.7984,4003040565,29.345959125547857,1.1553504107728192,95236.96427651822
1,11,2025,117473064.7984,4003040565,29.345959125547857,1.1553504107728192,95236.96427651822
1,12,2025,117473064.7984,4003040565,29.345959125547857,1.1553504107728192,95236.96427651822
1,13,2025,117473064.7984,4003040565,29.345959125547857,1.1553504107728192,95236.96427651822
1,14,2025,117473064.7984,4003040565,29.345959125547857,1.1553504107728192,95236.96427651822
1,15,2025,117473064.7984,4003040565,29.345959125547857,1.1553504107728192,95236.96427651822
1,16,2025,117473064.7984,4003040565,29.345959125547857,1.1553504107728192,95236.96427651822
1,17,2025,117509084.25400001,4003040565,29.354957149678548,1.1557046629828445,95266.16572462996
1,18,2025,117901611.3792,4003040565,29.45301439362256,1.1595651766769202,95584.39264638764
1,19,2025,117901611.3792,4003040565,29.45301439362256,1.1595651766769202,95584.39264638764
1,20,2025,117901611.3792,4003040565,29.45301439362256,1.1595651766769202,95584.39264638764
1,21,2025,122271284.1575,4003040565,30.544602826801484,1.2025410132911745,99126.94404743612
1,22,2025,122653420.4051,4003040565,30.640064324479308,1.2062993324547504,99436.74694756392
1,23,2025,122653420.4051,4003040565,30.640064324479308,1.2062993324547504,99436.74694756392
1,24,2025,122653420.4051,4003040565,30.640064324479308,1.2062993324547504,99436.74694756392
1,25,2025,122653420.4051,4003040565,30.640064324479308,1.2062993324547504,99436.74694756392
1,26,2025,126174678.7001,4003040565,31.519710243081185,1.2409309922701064,102291.4775279299
1,27,2025,129235272.1287,4003040565,32.28427742118072,1.271032002071885,104772.7410203292
1,28,2025,129313170.35350001,4003040565,32.30373718521137,1.2717981329817716,104835.89413943113
1,29,2025,130036191.16860001,4003040565,32.484355093863506,1.2789090600454063,105422.05665810745
1,30,2025,175494196.27470002,4003040565,43.84022430577093,1.7259896309182017,142275.4614432901
1,31,2025,186122913.0989,4003040565,46.49538521448882,1.830523315894425,150892.30247173112
2,1,2025,186122913.0989,4003040565,46.49538521448882,1.830523315894425,150892.30247173112
2,2,2025,186122913.0989,4003040565,46.49538521448882,1.830523315894425,150892.30247173112
2,3,2025,186122913.0989,4003040565,46.49538521448882,1.830523315894425,150892.30247173112
2,4,2025,186122913.0989,4003040565,46.49538521448882,1.830523315894425,150892.30247173112
2,5,2025,186122913.0989,4003040565,46.49538521448882,1.830523315894425,150892.30247173112
2,6,2025,186122913.0989,4003040565,46.49538521448882,1.830523315894425,150892.30247173112
2,7,2025,186122913.0989,4003040565,46.49538521448882,1.830523315894425,150892.30247173112
2,8,2025,186122913.0989,4003040565,46.49538521448882,1.830523315894425,150892.30247173112
2,9,2025,186122913.0989,4003040565,46.49538521448882,1.830523315894425,150892.30247173112
2,10,2025,186122913.0989,4003040565,46.49538521448882,1.830523315894425,150892.30247173112
2,11,2025,187704896.7814,4003040565,46.890580730700144,1.8460821633676647,152174.8375253185
2,12,2025,232899927.97550002,4003040565,58.18075640097842,2.2905763795065206,188815.04588878714
2,13,2025,232998865.93,4003040565,58.205472102179414,2.2915494366628035,188895.25619448128
2,14,2025,232998865.93,4003040565,58.205472102179414,2.2915494366628035,188895.25619448128
2,15,2025,233287724.6059,4003040565,58.277631919500664,2.2943903686707414,189129.43773596792
2,16,2025,233287724.6059,4003040565,58.277631919500664,2.2943903686707414,189129.43773596792
2,17,2025,233287724.6059,4003040565,58.277631919500664,2.2943903686707414,189129.43773596792
2,18,2025,233287724.6059,4003040565,58.277631919500664,2.2943903686707414,189129.43773596792
2,19,2025,234486966.11810002,4003040565,58.577214572418406,2.3061849377161128,190101.67865989642
2,20,2025,234486966.11810002,4003040565,58.577214572418406,2.3061849377161128,190101.67865989642
2,21,2025,234486966.11810002,4003040565,58.577214572418406,2.3061849377161128,190101.67865989642
2,22,2025,234519572.32160002,4003040565,58.58535993166985,2.306505620509842,190128.11293947577
2,23,2025,239286321.5849,4003040565,59.77614208486044,2.3533867138809557,193992.57948832333
2,24,2025,239286321.5849,4003040565,59.77614208486044,2.3533867138809557,193992.57948832333
2,25,2025,239286321.5849,4003040565,59.77614208486044,2.3533867138809557,193992.57948832333
2,26,2025,239286321.5849,4003040565,59.77614208486044,2.3533867138809557,193992.57948832333
2,27,2025,239286321.5849,4003040565,59.77614208486044,2.3533867138809557,193992.57948832333
2,28,2025,239286321.5849,4003040565,59.77614208486044,2.3533867138809557,193992.57948832333
3,1,2025,239286321.5849,4003040565,59.77614208486044,2.3533867138809557,193992.57948832333
3,2,2025,239286321.5849,4003040565,59.77614208486044,2.3533867138809557,193992.57948832333
3,3,2025,239286321.5849,4003040565,59.77614208486044,2.3533867138809557,193992.57948832333
3,4,2025,249827262.6264,4003040565,62.40937571573172,2.457057121928358,202538.25953108913
3,5,2025,251596289.849,4003040565,62.851296599089046,2.474455547106136,203972.43325161032
3,6,2025,251596289.849,4003040565,62.851296599089046,2.474455547106136,203972.43325161032
3,7,2025,251596289.849,4003040565,62.851296599089046,2.474455547106136,203972.43325161032
3,8,2025,252879044.5016,4003040565,63.171741678715655,2.4870714698910357,205012.37938083452
3,9,2025,252879044.5016,4003040565,63.171741678715655,2.4870714698910357,205012.37938083452
3,10,2025,252879044.5016,4003040565,63.171741678715655,2.4870714698910357,205012.37938083452
3,11,2025,252879044.5016,4003040565,63.171741678715655,2.4870714698910357,205012.37938083452
3,12,2025,252879044.5016,4003040565,63.171741678715655,2.4870714698910357,205012.37938083452
3,13,2025,252879044.5016,4003040565,63.171741678715655,2.4870714698910357,205012.37938083452
3,14,2025,252879044.5016,4003040565,63.171741678715655,2.4870714698910357,205012.37938083452
3,15,2025,252884175.8816,4003040565,63.17302354931294,2.4871219371364504,205016.53945833474
3,16,2025,252884175.8816,4003040565,63.17302354931294,2.4871219371364504,205016.53945833474
3,17,2025,252884175.8816,4003040565,63.17302354931294,2.4871219371364504,205016.53945833474
3,18,2025,252884175.8816,4003040565,63.17302354931294,2.4871219371364504,205016.53945833474
3,19,2025,252884175.8816,4003040565,63.17302354931294,2.4871219371364504,205016.53945833474
3,20,2025,252884175.8816,4003040565,63.17302354931294,2.4871219371364504,205016.53945833474
3,21,2025,252884175.8816,4003040565,63.17302354931294,2.4871219371364504,205016.53945833474
3,22,2025,252884175.8816,4003040565,63.17302354931294,2.4871219371364504,205016.53945833474
3,23,2025,252884175.8816,4003040565,63.17302354931294,2.4871219371364504,205016.53945833474
3,24,2025,292679921.198,4003040565,73.11440302579098,2.878514047125391,237279.47549017842
3,25,2025,293451496.1321,4003040565,73.30715024420444,2.8861025051143288,237905.0014740424
3,26,2025,293451496.1321,4003040565,73.30715024420444,2.8861025051143288,237905.0014740424
3,27,2025,363818885.69420004,4003040565,90.88563550297174,3.5781674697519974,294952.7730415791
3,28,2025,426632669.6451,4003040565,106.57715372042452,4.195942541973113,345876.73683252186
3,29,2025,427611892.4042,4003040565,106.82177346464138,4.205573221302932,346670.6056490647
3,30,2025,427611892.4042,4003040565,106.82177346464138,4.205573221302932,346670.6056490647
3,31,2025,427651868.20750004,4003040565,106.83175982442238,4.2059663842875095,346703.0145604806
4,1,2025,427651868.20750004,4003040565,106.83175982442238,4.2059663842875095,346703.0145604806
4,2,2025,427651868.20750004,4003040565,106.83175982442238,4.2059663842875095,346703.0145604806
4,3,2025,427770665.94810003,4003040565,106.86143670095436,4.207134762916573,346799.3254569152
4,4,2025,427770665.94810003,4003040565,106.86143670095436,4.207134762916573,346799.3254569152
4,5,2025,532180333.0991,4003040565,132.9440270358839,5.234006344402749,431445.62082383723
4,6,2025,532812503.1136,4003040565,133.1019494961326,5.24022375166274,431958.12939923664
4,7,2025,532812503.1136,4003040565,133.1019494961326,5.24022375166274,431958.12939923664
4,8,2025,532812503.1136,4003040565,133.1019494961326,5.24022375166274,431958.12939923664
4,9,2025,532812503.1136,4003040565,133.1019494961326,5.24022375166274,431958.12939923664
